"","region","year","不识字或识字很少（人）","中专程度（人）","农业机械总动力（万千瓦）","初中程度（人）","大专及大专以上（人）","小学程度（人）","旱地面积占比（%）","水田面积占比（%）","油料播种面积（千公顷）","瓜果类播种面积（千公顷）","蔬菜播种面积（千公顷）","高中程度（人）","露地圆白菜_主产品产量（千克）","露地圆白菜_人工成本（元）","露地圆白菜_土地成本（元）","露地圆白菜_平均出售价格（元）","露地圆白菜_物质与服务费用（元）","露地大白菜_主产品产量（千克）","露地大白菜_人工成本（元）","露地大白菜_土地成本（元）","露地大白菜_平均出售价格（元）","露地大白菜_物质与服务费用（元）","露地茄子_主产品产量（千克）","露地茄子_人工成本（元）","露地茄子_土地成本（元）","露地茄子_平均出售价格（元）","露地茄子_物质与服务费用（元）","露地菜椒_主产品产量（千克）","露地菜椒_人工成本（元）","露地菜椒_土地成本（元）","露地菜椒_平均出售价格（元）","露地菜椒_物质与服务费用（元）","露地菜花_主产品产量（千克）","露地菜花_人工成本（元）","露地菜花_土地成本（元）","露地菜花_平均出售价格（元）","露地菜花_物质与服务费用（元）","露地萝卜_主产品产量（千克）","露地萝卜_人工成本（元）","露地萝卜_土地成本（元）","露地萝卜_平均出售价格（元）","露地萝卜_物质与服务费用（元）","露地西红柿_主产品产量（千克）","露地西红柿_人工成本（元）","露地西红柿_土地成本（元）","露地西红柿_平均出售价格（元）","露地西红柿_物质与服务费用（元）","露地豆角_主产品产量（千克）","露地豆角_人工成本（元）","露地豆角_土地成本（元）","露地豆角_平均出售价格（元）","露地豆角_物质与服务费用（元）","露地马铃薯_主产品产量（千克）","露地马铃薯_人工成本（元）","露地马铃薯_土地成本（元）","露地马铃薯_平均出售价格（元）","露地马铃薯_物质与服务费用（元）","露地黄瓜_主产品产量（千克）","露地黄瓜_人工成本（元）","露地黄瓜_土地成本（元）","露地黄瓜_平均出售价格（元）","露地黄瓜_物质与服务费用（元）","农作物总播种面积（千公顷）","国有农场耕地面积（千公顷）","大豆播种面积（千公顷）","小麦播种面积（千公顷）","玉米播种面积（千公顷）","稻谷播种面积（千公顷）","耕地面积（万公顷）","中籼稻_主产品产量（千克）","中籼稻_人工成本（元）","中籼稻_土地成本（元）","中籼稻_平均出售价格（元）","中籼稻_总成本（元）","中籼稻_物质与服务费用（元）","大豆_主产品产量（千克）","大豆_人工成本（元）","大豆_土地成本（元）","大豆_平均出售价格（元）","大豆_总成本（元）","大豆_物质与服务费用（元）","小麦_主产品产量（千克）","小麦_人工成本（元）","小麦_土地成本（元）","小麦_平均出售价格（元）","小麦_总成本（元）","小麦_物质与服务费用（元）","早籼稻_主产品产量（千克）","早籼稻_人工成本（元）","早籼稻_土地成本（元）","早籼稻_平均出售价格（元）","早籼稻_总成本（元）","早籼稻_物质与服务费用（元）","晚籼稻_主产品产量（千克）","晚籼稻_人工成本（元）","晚籼稻_土地成本（元）","晚籼稻_平均出售价格（元）","晚籼稻_总成本（元）","晚籼稻_物质与服务费用（元）","玉米_主产品产量（千克）","玉米_人工成本（元）","玉米_土地成本（元）","玉米_平均出售价格（元）","玉米_总成本（元）","玉米_物质与服务费用（元）","粳稻_主产品产量（千克）","粳稻_人工成本（元）","粳稻_土地成本（元）","粳稻_平均出售价格（元）","粳稻_总成本（元）","粳稻_物质与服务费用（元）","油菜籽_主产品产量（千克）","油菜籽_人工成本（元）","油菜籽_土地成本（元）","油菜籽_平均出售价格（元）","油菜籽_物质与服务费用（元）","花生_主产品产量（千克）","花生_人工成本（元）","花生_土地成本（元）","花生_平均出售价格（元）","花生_物质与服务费用（元）","柑_主产品产量（千克）","柑_人工成本（元）","柑_土地成本（元）","柑_平均出售价格（元）","柑_物质与服务费用（元）","桔_主产品产量（千克）","桔_人工成本（元）","桔_土地成本（元）","桔_平均出售价格（元）","桔_物质与服务费用（元）","苹果_主产品产量（千克）","苹果_人工成本（元）","苹果_土地成本（元）","苹果_平均出售价格（元）","苹果_物质与服务费用（元）"
"187","Xinjiang",2010,4.2,2.6,457.2,49.5,1.5,34.6,5,1.7,273.4,122.8,303.6,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4758.6,1470.8,74.3,1120,653.8,66.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,390,145.18,126.58,100.11,78.51,385.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,625.19,242.83,122.68,81.71,53.8,342.96,NA,NA,NA,NA,NA,NA,166.87,295.83,103.88,195.23,180.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","Xinjiang",2011,2.4,2.5,491.7,56.4,2.3,30.4,5,1.7,264.3,118.8,322.6,6,3231.81,578.58,272.56,35.38,878.91,4360.1,640.84,349.61,22.67,691.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2073.38,875.92,368.14,33.91,895.12,2554.66,576.43,221.49,39.65,582.8,4492.26,1779,120.68,82.06,1443.87,1880.71,1298.18,258.55,112.03,932.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4983.5,1532,77.8,1078,728,70.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,393.61,169.07,151.66,107.5,86.49,427.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,652.58,250.62,155.91,90.95,61.61,444.69,NA,NA,NA,NA,NA,NA,137.71,386.49,118.95,226.34,198.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189","Xinjiang",2012,2.4,2.6,524.5,56.9,2.3,29.8,5,1.7,242.3,130.1,306.9,6,4512.95,1205.49,396.37,43.53,1855.02,4173.87,759.11,415.13,36.03,653.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2062.5,1690.5,241.39,102,1172.88,2778.37,952.64,216.65,53.25,615.2,4902.63,2955.34,121.98,81.3,1337.83,1508.93,1443.78,404.95,159.2,989.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5123.9,1512.9,55.2,1081,855.7,69.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,385.63,220.97,167.32,115.72,97.67,461.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,664.75,344.13,210.98,101.87,76.24,519.23,NA,NA,NA,NA,NA,NA,173.86,542.83,151.72,236.83,220.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190","Xinjiang",2013,NA,NA,541.2,NA,NA,NA,5,1.7,221.7,136.5,296.7,NA,4105.91,1294.05,587.45,53.95,1683.5,5096.4,968.04,333.96,38.68,666.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1959.42,1669.27,225.29,149.38,926.95,2915.02,969.47,212.52,57.46,605.2,3727.17,3571.97,125.38,84.27,1354.15,1540.19,1469.65,343.56,139.2,912.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5212.3,1546.3,59.2,1121,920.8,67.3,516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,426.72,258.32,194.65,129.72,100.4,494.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,690.15,353.98,252.05,85.43,78.13,537.47,NA,NA,NA,NA,NA,NA,186.57,641.23,171.07,241.7,222.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191","Xinjiang",2014,NA,NA,574,NA,NA,NA,4.1,1.1,220.5,144.4,310.1,NA,4262.74,970.48,346.57,46.41,1033.91,4403.4,1113.25,349.53,33.97,678.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2457.83,1737.12,324.69,78.22,1002.12,3405.6,1218.78,200.79,58.17,568.17,4106.51,4124.22,230.19,72.79,1134.48,1147.6,1553.69,439.07,164.1,861.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5517.6,1555.6,57.9,1142.4,910.8,75.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403.81,328.17,208.55,135.38,115.35,481.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,690.6,363.69,241.75,96.51,76.05,502.59,NA,NA,NA,NA,NA,NA,182.89,646.94,207.1,242.41,214.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192","Xinjiang",2015,NA,NA,604.7,NA,NA,NA,4.1,1.1,218.3,163,323.7,NA,4054.08,996.74,389.51,68.16,1210.65,4301.33,1165.68,393.21,45.38,778.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1571.28,1992.21,325.07,123.69,654.56,3443.7,1049.34,249.51,48.46,592.78,3915.5,4821.18,217.91,84.9,993.99,1171.73,1626.43,478.75,180.88,732.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5757.3,1604,57.3,1239.3,961.9,66.2,518.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,406.19,297.08,215.49,135.49,114.65,497.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,672.93,299.95,270.45,75.63,76.78,527.81,NA,NA,NA,NA,NA,NA,202.83,668.2,218.02,180.77,220.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","Xinjiang",2016,NA,NA,636.6,NA,NA,NA,4,1.1,259.7,160.9,308.9,NA,3500.12,1561.6926,387.52,70.57,1022.92,4271.51,1675.7238,313.47,70.17,744.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1532.18,2195.3564,386.4,172.69,704.12,1942.93,1290.3592,166.17,137.62,530.13,4922.76,4954.8994,226.46,47.67,1054.56,1193.67,1326.119,344.52,178.21,890.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5921.3,1605.9,29.2,1215.9,1026.4,83.1,521.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,397.34,303.5186,214.79,134.56,118.98,504.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,658.13,310.3818,226.37,73.16,75.72,517.72,NA,NA,NA,NA,NA,NA,183.37,736.0654,217.67,179.6,216.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194","Xinjiang",2017,NA,NA,648.4,NA,NA,NA,4,1.1,237.2,131.7,302.2,NA,3446.48,1691.2523,305.87,71.05,1078.88,4539,1087.3844,332.61,42.76,601.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1668.94,2231.7006,386.81,130.78,669.9,2775.03,1640.3912,240.43,78.05,591.62,4870.78,5350.6428,217.05,80.2,1047.97,1340.87,1731.6251,348.25,207,953.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5887,1610.1,29.5,1126.8,1019.9,74.2,523.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,411.45,311.1496,203.96,134.26,115.87,516.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,714.69,301.7223,218.17,78.68,69.68,523.23,NA,NA,NA,NA,NA,NA,205.07,695.9219,231.41,222.22,220.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","Xinjiang",2018,NA,NA,662.6,NA,NA,NA,NA,NA,224.1,111.3,273.3,NA,3604.42,1769.46,382.15,74.9,1171.1,4299.46,1784.97,313.16,44.17,723.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1855.69,2242.48,382.07,118.52,702.09,3027.97,1658.39,238.78,53.42,519.62,4278.34,6509.53,202.58,116.99,910.16,1324.56,1406.52,389.12,199.13,1057.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6068.9,1630,35.4,1031.5,1033.3,78.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,413.04,295.96,212.4,120,114.8,536.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,748.59,289.2,218.51,78.38,66.81,541.41,NA,NA,NA,NA,NA,NA,205.55,726.19,241.71,220.92,215.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196","Xinjiang",2019,NA,NA,720.1,NA,NA,NA,3.1,0.9,218.6,121.1,274.8,NA,3576.66,1790.15,379.73,74.82,1140.27,4909.88,1854.08,328.77,67.86,761.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2627.49,2334.6,423.53,80.21,751.43,2915.5,1203.9,247.25,59.72,496.4,4168.55,6599.26,204.78,98.01,905.34,1471.68,1555,435.66,190.74,1277.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6170,1629.1,39,1061.6,997.2,56.9,703.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,413.22,270.92,241.06,117.89,120.49,590.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,754.99,286.65,256.69,81.41,68.79,548.24,NA,NA,NA,NA,NA,NA,200.49,691.18,239.06,218.93,225.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197","Xinjiang",2020,NA,NA,678.2,NA,NA,NA,NA,NA,177.2,116.5,323.2,NA,3524.81,1870.28,291.43,92.13,1150.18,6408.21,2047.82,404.53,69.96,874.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2719.35,2423.43,423.89,68.95,781.03,2498.55,1430.71,235.47,61.29,636.75,4305.57,6920.37,206.22,123.14,912.1,1371.16,1571.4,374.19,234.41,1152.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6280,1658.3,16.4,1069,1051.1,47.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,406.56,272.5,299.56,123.06,122.13,557.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,804.75,322.37,294.54,107.36,70.53,567.29,641.96,345.6,424.12,149.12,108.67,692.78,224.66,713.29,244.11,224.76,209.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198","Xinjiang",2021,NA,NA,680.3,NA,NA,NA,NA,NA,113.2,109.4,321.1,NA,3458.25,2300.08,271.18,94.14,1271.74,6121.14,2026.53,384.59,88.28,958.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1916.38,2328.61,400.93,141.38,720.38,2604.79,1447.63,255.6,96.5,495.69,4213.26,7106.13,206.22,127.55,972.25,1223.04,1584.21,373.87,261.89,966.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6387.4,1668,19,1135.3,1110.3,44.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,411.67,272.91,310.93,123.23,118.79,560.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,821.43,312.94,341.78,114.37,74.53,615.72,NA,NA,NA,NA,NA,NA,214.85,717.77,244.43,253.62,218.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199","Jiangsu",2000,6.51,1.8,36.4,51.54,0.72,28.87,NA,NA,897.2,104,1056,10.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7944.9,72,249.2,1954.6,423.2,2203.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200","Jiangsu",2001,7.19,1.75,36.4,51.81,0.87,27.45,NA,NA,927.2,127.3,1180.2,10.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7777.4,65,244.4,1712.8,429.8,2010.3,NA,517.4,NA,NA,48.66,NA,NA,140.1,NA,NA,95.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,409.3,NA,NA,50.24,NA,NA,582.5,NA,NA,58.6,NA,NA,82.5,NA,NA,97.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201","Jiangsu",2002,7.23,1.86,33.4,52.26,1.04,26.41,NA,NA,907.3,147.8,1290.8,11.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7797.9,64.7,243.4,1715.9,436.5,1982.1,NA,521.5,NA,NA,47.82,NA,NA,149.2,NA,NA,114.03,NA,NA,307.6,NA,NA,44.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,446.8,NA,NA,48.33,NA,NA,587,NA,NA,52.63,NA,NA,73.7,NA,NA,95.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202","Jiangsu",2003,6.17,2.16,38,53.78,1.26,25.51,NA,NA,911,146.7,1341.7,11.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7681.5,64.9,241.7,1620.5,451.9,1840.9,NA,NA,NA,NA,NA,NA,NA,85.8,NA,NA,178.46,NA,NA,285.4,NA,NA,54.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201.8,NA,NA,64.62,NA,NA,473.9,NA,NA,73.77,NA,NA,82.8,NA,NA,12.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203","Jiangsu",2004,6.19,2.24,37.3,53.86,1.44,25.2,NA,NA,920.7,127.9,1217.5,11.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7669,63.1,216.4,1601.2,389.1,2112.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,363.3,70.45,43.81,71.58,42.62,205.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,433.7,113.7,41.35,65.98,35.76,170.18,543.7,129.49,52.84,87.56,47.1,343.02,98.5,100.38,42.93,164.1,87.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204","Jiangsu",2005,6.97,2.18,37.3,53.88,2.08,22.24,NA,NA,846.9,124.8,1194.4,12.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7641.2,65.1,214.8,1684.4,370.2,2209.3,NA,454.6,119.65,69.6,73.47,51.95,295.5,76.7,81.7,67.98,142.42,151.93,96.17,365.9,73.88,67.97,65.11,48.37,225.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,118.12,59.1,64.81,63.83,158.86,499.9,141.81,74.89,89.92,58.23,379.3,92.5,110.16,39.68,112.41,94.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205","Jiangsu",2006,6.34,2.39,39.3,54.06,2.41,21.55,NA,NA,668.1,125.6,991.8,13.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7385.2,65.6,213,1912.1,378.2,2216,NA,475.7,126.32,78.95,75.4,52.04,301.65,NA,NA,NA,NA,NA,NA,395.7,81.59,76.28,69.29,48.99,242.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,370.6,125.06,66.17,65.78,47.64,175.75,554.9,150.43,84.34,84.94,55.05,391.49,86.2,94.98,59.35,132.58,83.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206","Jiangsu",2007,5.9,2.46,45.2,54.32,2.91,20.71,24.6,60.1,540.8,125.2,1042.4,13.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7407.7,65.3,222.7,2039.1,391.2,2228.1,NA,497.9,155.35,86.88,82.98,57.26,339.77,NA,NA,NA,NA,NA,NA,394.2,86.77,85.25,71.93,52.06,251.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,362.6,133.61,87.02,81.42,54.7,189.46,533.9,150,88.22,88.73,60.27,421,100.8,117.06,42.16,158.45,91.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207","Jiangsu",2008,6.1,2.7,45.8,54.2,3.1,20.1,24.7,60,567.4,126.3,1093.4,13.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7510.3,73.9,232.8,2073.1,398.5,2232.6,NA,511.9,171.27,87.78,90.57,62.4,391.51,NA,NA,NA,NA,NA,NA,412.7,100.89,92.84,77.26,56.03,280.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,391.8,144.17,92.59,79.78,57.43,224.58,564.2,177.34,103.27,92.23,66.1,482.22,76.6,132.62,66.09,279.46,122.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208","Jiangsu",2009,5.5,3,44.4,54,4.2,19.3,24.7,60,593.3,134.6,1147.6,14.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7558.2,72.9,233,2077.6,399.8,2233.2,NA,506.66,189.5,93.48,96.45,63.61,372.51,NA,NA,NA,NA,NA,NA,403.46,106.63,104.39,87.06,63.42,312.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,434.94,159.81,95.36,90.34,52.41,211.24,557.73,188.5,112.36,101.38,66,452.68,92.16,129.76,61.36,194.27,141.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209","Jiangsu",2010,5.4,3.2,46.4,52.7,4.8,19.6,24.7,60,574.4,137.5,1229.8,14.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7619.6,73.1,226.9,2093.1,403.7,2234.2,NA,497.29,202.34,100.55,112.62,66.84,371.53,NA,NA,NA,NA,NA,NA,376.65,129.6,118.58,95.72,73.91,321.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,422.83,204.78,102.99,97.85,60.79,217.35,555.94,220.07,126.88,133.4,72.9,476.35,92.42,188.7,39.83,206.61,162.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210","Jiangsu",2011,5.7,2.5,47.9,53.1,3.3,24.1,24.7,60,552.3,140.4,1260.2,11.2,2663.77,849.69,147.07,51.99,651.87,3633.17,1007.41,155.36,44.92,623.11,2341.72,1134.47,142.54,68.15,689.26,1693.93,1251.01,144.4,106.92,673.67,1857.07,1038.74,120,77.36,531.3,2829.38,857.02,149.9,47.28,621.22,3285.69,1475.83,130,68.29,784.72,1931.56,1260.01,149.1,90.74,842.82,NA,NA,NA,NA,NA,2647.91,1028.66,159.12,69.71,852.32,7663.2,72.9,219.7,2112.4,414.3,2248.6,NA,495.59,245.6,113.22,133.27,78.11,422.04,NA,NA,NA,NA,NA,NA,381.19,162.25,128.86,98.19,84.3,364.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,385.85,258.61,118.39,112.58,81.26,263.27,572.77,270.03,138.32,141.1,80.9,532.23,119.91,259.47,41.67,237.52,178.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211","Jiangsu",2012,5.4,2.8,45.3,53.4,3.8,23.6,24.7,60,527.7,143.5,1323.4,11.1,2586.24,1378.87,160.7,64.24,741.01,3682.2,1282.89,166.08,49.06,806.05,2547.1,1711.95,149.6,83.5,779.02,1587.23,1931.99,155.7,112.53,751.37,1747.57,1422.86,131.68,117.24,693.59,2909.27,1300.19,157.33,44.79,662.61,3302.41,2251.21,134.66,76.68,868.21,1894.02,1627.75,152.4,109.99,990.66,NA,NA,NA,NA,NA,2890.11,1696.1,162.56,69.41,998.37,7651.6,71.4,210.5,2132.6,418.9,2254.2,NA,551.12,328.66,130.31,125.53,82.21,454.88,NA,NA,NA,NA,NA,NA,368.29,226.68,150.81,101.48,102.1,390.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,455.84,359.88,130.58,110.26,85.33,303.18,609.39,396.9,159.25,139.58,91.52,576.56,108.33,368.05,45.79,244.65,162.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
